Category: All categories
"Indie game: (11/12/2025 - 11/01/2026, United States)"

TOP
Game,100
Video Game,84
Clair Obscur: Expedition 33,13
Steam,11
Horror game,8
The Game Awards,7
The Game Award for Game of the Year,6
2024,5
Nintendo Switch,5
2023,4
Role-playing game,3
Budget,3
Personal computer,3
Software Developer,3
The Indie Game Awards,3
Hollow Knight: Silksong,3
Publishing,2
Wikipedia,2
Puzzle,2
Shooter Video Game,1
Friday Night Funkin',1
Blue Prince,1
Video Game Engine,1
Sandfall Interactive,1
Hades II,1

RISING
Blue Prince,+250%
Sandfall Interactive,+200%
Clair Obscur: Expedition 33,+200%
Wikipedia,+190%
The Game Award for Game of the Year,+110%
The Indie Game Awards,+100%
Publishing,+80%
Hollow Knight: Silksong,+80%
Software Developer,+60%
Hades II,+60%
Puzzle,+50%
Budget,+40%

