Top pages,Clicks,Impressions,CTR,Position
https://nextplaygame.me/game/restory,3,27,11.11%,3.59
https://nextplaygame.me/game/phantom-blade-zero,2,5,40%,8.8
https://nextplaygame.me/game/woman-simulator,1,330,0.3%,7.36
https://nextplaygame.me/platform/ios,1,13,7.69%,5.08
https://nextplaygame.me/genre/arcade,1,11,9.09%,10
https://nextplaygame.me/platform/playstation-vr2,1,8,12.5%,8.25
https://nextplaygame.me/genre/turn-based-strategy-tbs,1,5,20%,4.4
https://nextplaygame.me/platform/linux,1,3,33.33%,5.33
https://nextplaygame.me/game/anxiety-arcade,1,1,100%,7
https://nextplaygame.me/game/paddlenoid,1,1,100%,65
https://nextplaygame.me/,0,64,0%,8.91
https://nextplaygame.me/game/ontos,0,53,0%,9.49
https://nextplaygame.me/game/tr-49,0,38,0%,8.89
https://nextplaygame.me/calendar/02,0,32,0%,9.97
https://nextplaygame.me/game/auto-snakes-in-outer-space,0,27,0%,6.89
https://nextplaygame.me/game/genshin-impact-version-luna-iv,0,21,0%,9.62
https://nextplaygame.me/game/orbitals--1,0,18,0%,9.67
https://nextplaygame.me/game/terminator-dark-fate-defiance-evolution,0,15,0%,5.53
https://nextplaygame.me/game/dune-awakening-raiders-of-the-broken-lands,0,15,0%,8.93
https://nextplaygame.me/game/tankrat,0,15,0%,9.93
https://nextplaygame.me/game/the-dark-pictures-directive-8020,0,11,0%,9.27
https://nextplaygame.me/calendar/04,0,10,0%,6.8
https://nextplaygame.me/game/resident-evil-9-requiem,0,10,0%,8.5
https://nextplaygame.me/game/thrifty-business,0,9,0%,7.11
https://nextplaygame.me/game/knights-of-fiona,0,9,0%,7.22
https://nextplaygame.me/platform/meta-quest-2,0,9,0%,8
https://nextplaygame.me/game/corinne,0,9,0%,8.89
https://nextplaygame.me/game/exd-extra-dimensional,0,6,0%,6.33
https://nextplaygame.me/platform/steamvr,0,6,0%,7.33
https://nextplaygame.me/calendar/06,0,6,0%,9.5
https://nextplaygame.me/platform/meta-quest-3,0,5,0%,4.4
https://nextplaygame.me/game/saint-slayer-spear-of-sacrilege,0,5,0%,5.6
https://nextplaygame.me/game/curse-chapter-dawnthief,0,4,0%,6
https://nextplaygame.me/game/elemency-island,0,4,0%,6.5
https://nextplaygame.me/game/gate-guard-simulator,0,4,0%,6.5
https://nextplaygame.me/game/pripyat-0,0,4,0%,6.75
https://nextplaygame.me/calendar/11,0,4,0%,10.75
https://nextplaygame.me/game/dreamcore-rabbit-hole,0,4,0%,11.25
https://nextplaygame.me/game/pizzapocalypse-2,0,3,0%,1
https://nextplaygame.me/game/pingberts-snow-ride,0,3,0%,6
https://nextplaygame.me/genre/indie,0,3,0%,6.67
https://nextplaygame.me/game/ride-6,0,3,0%,7
https://nextplaygame.me/game/where-winds-meet-the-imperial-palace,0,3,0%,7
https://nextplaygame.me/game/decrepit--1,0,3,0%,8.67
https://nextplaygame.me/calendar/10,0,3,0%,10
https://nextplaygame.me/game/caribbean-legend-age-of-pirates,0,3,0%,13.33
https://nextplaygame.me/game/carmageddon-rogue-shift,0,3,0%,17.67
https://nextplaygame.me/platform/nintendo-switch-2,0,3,0%,20.67
