"Trends","Search volume","Started","Ended","Trend breakdown","Explore link"
"filly","100k+","5 January 2026 at 10:30:00 UTC+5:30","6 January 2026 at 15:00:00 UTC+5:30","filly","https://trends.google.com/trends/explore?q=filly&geo=US&hl=en-GB"
"amazon prime video","50k+","11 January 2026 at 06:10:00 UTC+5:30","11 January 2026 at 10:50:00 UTC+5:30","amazon prime video,amazon video","https://trends.google.com/trends/explore?q=amazon%20prime%20video&geo=US&hl=en-GB"
"today wordle answers","50k+","9 January 2026 at 21:20:00 UTC+5:30","10 January 2026 at 02:40:00 UTC+5:30","today wordle answers,wordle hint,todays wordle,wordle answer,wordle hints,wordle hint today,today's wordle,wordle help,today's wordle answer,wordle hint jan 6,what is the wordle today,ny times wordle,wordle today,wordle hints today,oomph wordle","https://trends.google.com/trends/explore?q=today%20wordle%20answers&geo=US&hl=en-GB"
"devil hunter codes","20k+","5 January 2026 at 16:10:00 UTC+5:30",,"devil hunter codes","https://trends.google.com/trends/explore?q=devil%20hunter%20codes&geo=US&hl=en-GB"
"lorwyn eclipsed spoilers","20k+","5 January 2026 at 19:20:00 UTC+5:30","7 January 2026 at 18:20:00 UTC+5:30","lorwyn eclipsed spoilers,lorwyn eclipsed,mtg lorwyn eclipsed commander decklists,lorwyn eclipsed commander decklists,lorwyn eclipsed commander decks","https://trends.google.com/trends/explore?q=lorwyn%20eclipsed%20spoilers&geo=US&hl=en-GB"
"league of legends down","20k+","5 January 2026 at 02:00:00 UTC+5:30","5 January 2026 at 08:30:00 UTC+5:30","league of legends down,is league down,is league of legends down,riot,league down","https://trends.google.com/trends/explore?q=league%20of%20legends%20down&geo=US&hl=en-GB"
"minecraft realms down","10k+","10 January 2026 at 23:40:00 UTC+5:30","11 January 2026 at 12:30:00 UTC+5:30","minecraft realms down,is minecraft realms down,are minecraft realms down","https://trends.google.com/trends/explore?q=minecraft%20realms%20down&geo=US&hl=en-GB"
"rockstar games","10k+","9 January 2026 at 12:10:00 UTC+5:30","10 January 2026 at 13:30:00 UTC+5:30","rockstar games,rockstar games gta 6","https://trends.google.com/trends/explore?q=rockstar%20games&geo=US&hl=en-GB"
"nintendo joy cons","10k+","9 January 2026 at 04:40:00 UTC+5:30","9 January 2026 at 17:40:00 UTC+5:30","nintendo joy cons,nintendo switch joy con,new joy cons","https://trends.google.com/trends/explore?q=nintendo%20joy%20cons&geo=US&hl=en-GB"
"fallout new vegas remaster","10k+","8 January 2026 at 05:50:00 UTC+5:30","8 January 2026 at 21:50:00 UTC+5:30","fallout new vegas remaster,fallout new vegas,fallout remaster,fallout 3 remastered,fallout countdown","https://trends.google.com/trends/explore?q=fallout%20new%20vegas%20remaster&geo=US&hl=en-GB"
"pokemon mega evolutions perfect order","10k+","9 January 2026 at 01:10:00 UTC+5:30","9 January 2026 at 06:30:00 UTC+5:30","pokemon mega evolutions perfect order,pokemon perfect order card list,pokemon tcg mega evolution perfect order,perfect order pokemon set,pokemon perfect order,perfect order card list,perfect order pokemon","https://trends.google.com/trends/explore?q=pokemon%20mega%20evolutions%20perfect%20order&geo=US&hl=en-GB"
